#    L    TT             EE             BB             TE             PP             TP             EP          
   185   0.534290E+04   0.753717E+00   0.000000E+00  -0.312901E+02   0.618809E-07   0.166759E-03  -0.585523E-06
   186   0.536333E+04   0.744361E+00   0.000000E+00  -0.303864E+02   0.615587E-07   0.165394E-03  -0.571342E-06
   187   0.538326E+04   0.735341E+00   0.000000E+00  -0.294563E+02   0.612391E-07   0.164041E-03  -0.557323E-06
   188   0.540269E+04   0.726698E+00   0.000000E+00  -0.285001E+02   0.609222E-07   0.162700E-03  -0.543448E-06
   189   0.542160E+04   0.718464E+00   0.000000E+00  -0.275180E+02   0.606079E-07   0.161372E-03  -0.529696E-06
   190   0.543998E+04   0.710671E+00   0.000000E+00  -0.265103E+02   0.602962E-07   0.160057E-03  -0.516050E-06
   191   0.545784E+04   0.703353E+00   0.000000E+00  -0.254774E+02   0.599870E-07   0.158753E-03  -0.502489E-06
   192   0.547516E+04   0.696545E+00   0.000000E+00  -0.244192E+02   0.596804E-07   0.157461E-03  -0.488997E-06
   193   0.549193E+04   0.690279E+00   0.000000E+00  -0.233360E+02   0.593762E-07   0.156181E-03  -0.475553E-06
   194   0.550816E+04   0.684592E+00   0.000000E+00  -0.222285E+02   0.590746E-07   0.154912E-03  -0.462140E-06
   195   0.552383E+04   0.679520E+00   0.000000E+00  -0.210966E+02   0.587753E-07   0.153654E-03  -0.448737E-06
   196   0.553895E+04   0.675098E+00   0.000000E+00  -0.199410E+02   0.584785E-07   0.152407E-03  -0.435327E-06
   197   0.555352E+04   0.671363E+00   0.000000E+00  -0.187619E+02   0.581841E-07   0.151171E-03  -0.421890E-06
   198   0.556753E+04   0.668352E+00   0.000000E+00  -0.175597E+02   0.578920E-07   0.149945E-03  -0.408408E-06
   199   0.558096E+04   0.666099E+00   0.000000E+00  -0.163346E+02   0.576023E-07   0.148729E-03  -0.394861E-06
   200   0.559384E+04   0.664641E+00   0.000000E+00  -0.150873E+02   0.573148E-07   0.147524E-03  -0.381232E-06
   201   0.560614E+04   0.664016E+00   0.000000E+00  -0.138179E+02   0.570297E-07   0.146328E-03  -0.367504E-06
   202   0.561785E+04   0.664260E+00   0.000000E+00  -0.125271E+02   0.567468E-07   0.145142E-03  -0.353679E-06
   203   0.562896E+04   0.665408E+00   0.000000E+00  -0.112150E+02   0.564661E-07   0.143965E-03  -0.339761E-06
   204   0.563947E+04   0.667499E+00   0.000000E+00  -0.988213E+01   0.561877E-07   0.142798E-03  -0.325753E-06
   205   0.564936E+04   0.670568E+00   0.000000E+00  -0.852903E+01   0.559114E-07   0.141641E-03  -0.311661E-06
   206   0.565862E+04   0.674651E+00   0.000000E+00  -0.715602E+01   0.556373E-07   0.140493E-03  -0.297488E-06
   207   0.566725E+04   0.679787E+00   0.000000E+00  -0.576348E+01   0.553654E-07   0.139354E-03  -0.283239E-06
   208   0.567524E+04   0.686011E+00   0.000000E+00  -0.435201E+01   0.550957E-07   0.138224E-03  -0.268917E-06
   209   0.568261E+04   0.693360E+00   0.000000E+00  -0.292215E+01   0.548280E-07   0.137104E-03  -0.254527E-06
   210   0.568936E+04   0.701870E+00   0.000000E+00  -0.147445E+01   0.545625E-07   0.135992E-03  -0.240074E-06
   211   0.569549E+04   0.711579E+00   0.000000E+00  -0.946497E-02   0.542990E-07   0.134890E-03  -0.225561E-06
   212   0.570101E+04   0.722523E+00   0.000000E+00   0.147225E+01   0.540376E-07   0.133796E-03  -0.210994E-06
   213   0.570592E+04   0.734737E+00   0.000000E+00   0.297013E+01   0.537783E-07   0.132712E-03  -0.196375E-06
   214   0.571024E+04   0.748261E+00   0.000000E+00   0.448364E+01   0.535210E-07   0.131636E-03  -0.181709E-06
   215   0.571395E+04   0.763123E+00   0.000000E+00   0.601217E+01   0.532657E-07   0.130568E-03  -0.167001E-06
   216   0.571706E+04   0.779369E+00   0.000000E+00   0.755513E+01   0.530124E-07   0.129510E-03  -0.152254E-06
   217   0.571955E+04   0.797027E+00   0.000000E+00   0.911192E+01   0.527610E-07   0.128459E-03  -0.137473E-06
   218   0.572142E+04   0.816129E+00   0.000000E+00   0.106820E+02   0.525117E-07   0.127418E-03  -0.122663E-06
   219   0.572268E+04   0.836719E+00   0.000000E+00   0.122647E+02   0.522642E-07   0.126384E-03  -0.107827E-06
   220   0.572331E+04   0.858825E+00   0.000000E+00   0.138596E+02   0.520187E-07   0.125359E-03  -0.929692E-07
   221   0.572331E+04   0.882478E+00   0.000000E+00   0.154658E+02   0.517751E-07   0.124342E-03  -0.780945E-07
   222   0.572268E+04   0.907722E+00   0.000000E+00   0.170829E+02   0.515333E-07   0.123334E-03  -0.632069E-07
   223   0.572143E+04   0.934580E+00   0.000000E+00   0.187102E+02   0.512934E-07   0.122333E-03  -0.483106E-07
   224   0.571955E+04   0.963088E+00   0.000000E+00   0.203470E+02   0.510554E-07   0.121340E-03  -0.334098E-07
   225   0.571705E+04   0.993269E+00   0.000000E+00   0.219926E+02   0.508192E-07   0.120355E-03  -0.185087E-07
   226   0.571392E+04   0.102517E+01   0.000000E+00   0.236464E+02   0.505848E-07   0.119378E-03  -0.361164E-08
   227   0.571016E+04   0.105881E+01   0.000000E+00   0.253078E+02   0.503522E-07   0.118409E-03   0.112772E-07
   228   0.570579E+04   0.109423E+01   0.000000E+00   0.269760E+02   0.501213E-07   0.117447E-03   0.261537E-07
   229   0.570080E+04   0.113145E+01   0.000000E+00   0.286503E+02   0.498922E-07   0.116493E-03   0.410134E-07
   230   0.569520E+04   0.117050E+01   0.000000E+00   0.303302E+02   0.496648E-07   0.115547E-03   0.558523E-07
