#    L    TT             EE             TE             PP             TP          
   159   0.466058E+04   0.102168E+01  -0.452341E+02   0.328563E+07   0.352396E+04
   160   0.469127E+04   0.101320E+01  -0.450373E+02   0.326741E+07   0.349341E+04
   161   0.472169E+04   0.100441E+01  -0.448142E+02   0.324934E+07   0.346324E+04
   162   0.475182E+04   0.995318E+00  -0.445646E+02   0.323141E+07   0.343344E+04
   163   0.478165E+04   0.985963E+00  -0.442883E+02   0.321362E+07   0.340400E+04
   164   0.481116E+04   0.976339E+00  -0.439852E+02   0.319599E+07   0.337492E+04
   165   0.484036E+04   0.966471E+00  -0.436549E+02   0.317849E+07   0.334619E+04
   166   0.486921E+04   0.956380E+00  -0.432975E+02   0.316114E+07   0.331780E+04
   167   0.489773E+04   0.946089E+00  -0.429128E+02   0.314393E+07   0.328975E+04
   168   0.492590E+04   0.935620E+00  -0.425008E+02   0.312686E+07   0.326201E+04
   169   0.495370E+04   0.924995E+00  -0.420614E+02   0.310993E+07   0.323459E+04
   170   0.498114E+04   0.914229E+00  -0.415945E+02   0.309314E+07   0.320748E+04
   171   0.500820E+04   0.903352E+00  -0.411000E+02   0.307648E+07   0.318067E+04
   172   0.503489E+04   0.892386E+00  -0.405779E+02   0.305997E+07   0.315414E+04
   173   0.506118E+04   0.881354E+00  -0.400282E+02   0.304359E+07   0.312790E+04
   174   0.508706E+04   0.870278E+00  -0.394508E+02   0.302734E+07   0.310193E+04
   175   0.511254E+04   0.859195E+00  -0.388459E+02   0.301123E+07   0.307623E+04
   176   0.513760E+04   0.848119E+00  -0.382134E+02   0.299525E+07   0.305078E+04
   177   0.516223E+04   0.837089E+00  -0.375533E+02   0.297940E+07   0.302559E+04
   178   0.518641E+04   0.826127E+00  -0.368657E+02   0.296369E+07   0.300065E+04
   179   0.521016E+04   0.815254E+00  -0.361506E+02   0.294810E+07   0.297595E+04
   180   0.523345E+04   0.804508E+00  -0.354082E+02   0.293264E+07   0.295150E+04
   181   0.525629E+04   0.793920E+00  -0.346385E+02   0.291731E+07   0.292728E+04
   182   0.527866E+04   0.783518E+00  -0.338417E+02   0.290211E+07   0.290330E+04
   183   0.530055E+04   0.773326E+00  -0.330179E+02   0.288703E+07   0.287955E+04
   184   0.532197E+04   0.763380E+00  -0.321674E+02   0.287207E+07   0.285603E+04
   185   0.534290E+04   0.753717E+00  -0.312901E+02   0.285724E+07   0.283273E+04
   186   0.536333E+04   0.744361E+00  -0.303864E+02   0.284252E+07   0.280965E+04
   187   0.538326E+04   0.735341E+00  -0.294563E+02   0.282793E+07   0.278678E+04
   188   0.540269E+04   0.726698E+00  -0.285001E+02   0.281345E+07   0.276413E+04
   189   0.542160E+04   0.718464E+00  -0.275180E+02   0.279910E+07   0.274168E+04
   190   0.543998E+04   0.710671E+00  -0.265103E+02   0.278485E+07   0.271944E+04
   191   0.545784E+04   0.703353E+00  -0.254774E+02   0.277073E+07   0.269741E+04
   192   0.547516E+04   0.696545E+00  -0.244192E+02   0.275671E+07   0.267557E+04
   193   0.549193E+04   0.690279E+00  -0.233360E+02   0.274281E+07   0.265392E+04
   194   0.550816E+04   0.684592E+00  -0.222285E+02   0.272902E+07   0.263246E+04
   195   0.552383E+04   0.679520E+00  -0.210966E+02   0.271534E+07   0.261119E+04
   196   0.553895E+04   0.675098E+00  -0.199410E+02   0.270177E+07   0.259010E+04
   197   0.555352E+04   0.671363E+00  -0.187619E+02   0.268830E+07   0.256919E+04
   198   0.556753E+04   0.668352E+00  -0.175597E+02   0.267495E+07   0.254845E+04
