#    L    TT             EE             BB             TE          
   355   0.237775E+04   0.187912E+02   0.380073E-01   0.820386E+02
   356   0.235444E+04   0.189280E+02   0.381292E-01   0.804779E+02
   357   0.233152E+04   0.190623E+02   0.382510E-01   0.788940E+02
   358   0.230900E+04   0.191939E+02   0.383727E-01   0.772877E+02
   359   0.228687E+04   0.193226E+02   0.384944E-01   0.756589E+02
   360   0.226515E+04   0.194485E+02   0.386160E-01   0.740093E+02
   361   0.224383E+04   0.195715E+02   0.387376E-01   0.723376E+02
   362   0.222291E+04   0.196916E+02   0.388592E-01   0.706459E+02
   363   0.220242E+04   0.198086E+02   0.389809E-01   0.689347E+02
   364   0.218233E+04   0.199226E+02   0.391026E-01   0.672046E+02
   365   0.216266E+04   0.200334E+02   0.392244E-01   0.654564E+02
   366   0.214342E+04   0.201411E+02   0.393463E-01   0.636911E+02
   367   0.212460E+04   0.202455E+02   0.394683E-01   0.619092E+02
   368   0.210621E+04   0.203467E+02   0.395904E-01   0.601116E+02
   369   0.208825E+04   0.204447E+02   0.397127E-01   0.582992E+02
   370   0.207072E+04   0.205392E+02   0.398352E-01   0.564724E+02
   371   0.205363E+04   0.206304E+02   0.399578E-01   0.546323E+02
   372   0.203697E+04   0.207181E+02   0.400807E-01   0.527795E+02
   373   0.202075E+04   0.208024E+02   0.402039E-01   0.509148E+02
   374   0.200496E+04   0.208832E+02   0.403273E-01   0.490390E+02
   375   0.198961E+04   0.209604E+02   0.404510E-01   0.471528E+02
   376   0.197471E+04   0.210341E+02   0.405750E-01   0.452569E+02
   377   0.196024E+04   0.211041E+02   0.406994E-01   0.433521E+02
   378   0.194621E+04   0.211705E+02   0.408241E-01   0.414391E+02
   379   0.193263E+04   0.212330E+02   0.409492E-01   0.395188E+02
   380   0.191950E+04   0.212919E+02   0.410746E-01   0.375918E+02
   381   0.190680E+04   0.213469E+02   0.412005E-01   0.356588E+02
   382   0.189456E+04   0.213980E+02   0.413268E-01   0.337207E+02
   383   0.188275E+04   0.214454E+02   0.414536E-01   0.317782E+02
   384   0.187139E+04   0.214888E+02   0.415809E-01   0.298323E+02
   385   0.186047E+04   0.215283E+02   0.417086E-01   0.278836E+02
   386   0.185000E+04   0.215640E+02   0.418369E-01   0.259332E+02
   387   0.183997E+04   0.215959E+02   0.419657E-01   0.239817E+02
