#    L    TT             EE             BB             TE          
   231    0.73235E+00    0.15884E-02    0.12874E-02   -0.37847E-02
   232    0.72744E+00    0.15949E-02    0.12933E-02   -0.43758E-02
   233    0.72224E+00    0.16024E-02    0.12991E-02   -0.49567E-02
   234    0.71674E+00    0.16109E-02    0.13049E-02   -0.55264E-02
   235    0.71096E+00    0.16202E-02    0.13107E-02   -0.60838E-02
   236    0.70490E+00    0.16304E-02    0.13164E-02   -0.66278E-02
   237    0.69858E+00    0.16414E-02    0.13221E-02   -0.71573E-02
   238    0.69200E+00    0.16532E-02    0.13276E-02   -0.76713E-02
   239    0.68517E+00    0.16656E-02    0.13330E-02   -0.81687E-02
   240    0.67809E+00    0.16788E-02    0.13382E-02   -0.86484E-02
   241    0.67079E+00    0.16925E-02    0.13432E-02   -0.91093E-02
   242    0.66326E+00    0.17068E-02    0.13480E-02   -0.95503E-02
   243    0.65552E+00    0.17215E-02    0.13526E-02   -0.99704E-02
   244    0.64757E+00    0.17368E-02    0.13569E-02   -0.10369E-01
   245    0.63942E+00    0.17524E-02    0.13609E-02   -0.10743E-01
   246    0.63109E+00    0.17684E-02    0.13646E-02   -0.11094E-01
   247    0.62257E+00    0.17847E-02    0.13680E-02   -0.11420E-01
   248    0.61388E+00    0.18013E-02    0.13709E-02   -0.11719E-01
   249    0.60502E+00    0.18181E-02    0.13735E-02   -0.11991E-01
   250    0.59601E+00    0.18351E-02    0.13756E-02   -0.12234E-01
   251    0.58685E+00    0.18521E-02    0.13773E-02   -0.12448E-01
   252    0.57755E+00    0.18693E-02    0.13785E-02   -0.12633E-01
   253    0.56813E+00    0.18865E-02    0.13793E-02   -0.12790E-01
   254    0.55858E+00    0.19038E-02    0.13797E-02   -0.12920E-01
   255    0.54893E+00    0.19211E-02    0.13797E-02   -0.13023E-01
   256    0.53918E+00    0.19384E-02    0.13792E-02   -0.13099E-01
   257    0.52935E+00    0.19556E-02    0.13784E-02   -0.13151E-01
   258    0.51943E+00    0.19728E-02    0.13771E-02   -0.13178E-01
   259    0.50944E+00    0.19899E-02    0.13755E-02   -0.13181E-01
   260    0.49940E+00    0.20069E-02    0.13735E-02   -0.13161E-01
   261    0.48930E+00    0.20237E-02    0.13711E-02   -0.13118E-01
   262    0.47917E+00    0.20404E-02    0.13684E-02   -0.13054E-01
