#    L    TT             EE             BB             TE          
   158    0.58576E+01    0.58632E-01    0.25994E-01   -0.19718E+00
   159    0.56082E+01    0.57504E-01    0.25410E-01   -0.17370E+00
   160    0.53843E+01    0.56379E-01    0.24838E-01   -0.15107E+00
   161    0.51848E+01    0.55256E-01    0.24278E-01   -0.12930E+00
   162    0.50089E+01    0.54138E-01    0.23729E-01   -0.10838E+00
   163    0.48553E+01    0.53025E-01    0.23193E-01   -0.88302E-01
   164    0.47233E+01    0.51917E-01    0.22669E-01   -0.69073E-01
   165    0.46116E+01    0.50816E-01    0.22157E-01   -0.50686E-01
   166    0.45194E+01    0.49722E-01    0.21658E-01   -0.33140E-01
   167    0.44456E+01    0.48635E-01    0.21172E-01   -0.16431E-01
   168    0.43892E+01    0.47557E-01    0.20699E-01   -0.55782E-03
   169    0.43491E+01    0.46488E-01    0.20239E-01    0.14483E-01
   170    0.43245E+01    0.45429E-01    0.19793E-01    0.28693E-01
   171    0.43142E+01    0.44381E-01    0.19360E-01    0.42075E-01
   172    0.43173E+01    0.43345E-01    0.18941E-01    0.54632E-01
   173    0.43327E+01    0.42321E-01    0.18536E-01    0.66367E-01
   174    0.43594E+01    0.41310E-01    0.18146E-01    0.77280E-01
   175    0.43965E+01    0.40313E-01    0.17770E-01    0.87377E-01
   176    0.44430E+01    0.39331E-01    0.17408E-01    0.96661E-01
   177    0.44982E+01    0.38364E-01    0.17061E-01    0.10515E+00
   178    0.45615E+01    0.37412E-01    0.16728E-01    0.11287E+00
   179    0.46323E+01    0.36476E-01    0.16409E-01    0.11985E+00
   180    0.47100E+01    0.35556E-01    0.16103E-01    0.12610E+00
   181    0.47941E+01    0.34653E-01    0.15811E-01    0.13165E+00
   182    0.48839E+01    0.33767E-01    0.15532E-01    0.13653E+00
   183    0.49788E+01    0.32899E-01    0.15266E-01    0.14075E+00
   184    0.50782E+01    0.32049E-01    0.15013E-01    0.14434E+00
   185    0.51816E+01    0.31217E-01    0.14772E-01    0.14732E+00
   186    0.52883E+01    0.30404E-01    0.14543E-01    0.14971E+00
   187    0.53978E+01    0.29611E-01    0.14327E-01    0.15154E+00
   188    0.55094E+01    0.28837E-01    0.14121E-01    0.15283E+00
   189    0.56225E+01    0.28083E-01    0.13928E-01    0.15360E+00
   190    0.57366E+01    0.27350E-01    0.13745E-01    0.15388E+00
   191    0.58511E+01    0.26638E-01    0.13573E-01    0.15369E+00
   192    0.59652E+01    0.25947E-01    0.13412E-01    0.15305E+00
   193    0.60786E+01    0.25278E-01    0.13262E-01    0.15199E+00
   194    0.61905E+01    0.24632E-01    0.13121E-01    0.15053E+00
   195    0.63003E+01    0.24008E-01    0.12991E-01    0.14868E+00
   196    0.64075E+01    0.23407E-01    0.12870E-01    0.14648E+00
   197    0.65115E+01    0.22830E-01    0.12759E-01    0.14395E+00
   198    0.66116E+01    0.22276E-01    0.12657E-01    0.14110E+00
   199    0.67073E+01    0.21748E-01    0.12564E-01    0.13797E+00
   200    0.67980E+01    0.21244E-01    0.12479E-01    0.13457E+00
   201    0.68831E+01    0.20765E-01    0.12403E-01    0.13094E+00
   202    0.69627E+01    0.20310E-01    0.12335E-01    0.12707E+00
   203    0.70368E+01    0.19881E-01    0.12275E-01    0.12298E+00
   204    0.71056E+01    0.19474E-01    0.12223E-01    0.11868E+00
   205    0.71691E+01    0.19092E-01    0.12178E-01    0.11418E+00
   206    0.72273E+01    0.18732E-01    0.12141E-01    0.10950E+00
   207    0.72804E+01    0.18394E-01    0.12110E-01    0.10463E+00
   208    0.73285E+01    0.18078E-01    0.12086E-01    0.99604E-01
   209    0.73716E+01    0.17784E-01    0.12068E-01    0.94419E-01
   210    0.74098E+01    0.17511E-01    0.12056E-01    0.89088E-01
   211    0.74432E+01    0.17258E-01    0.12051E-01    0.83623E-01
   212    0.74719E+01    0.17025E-01    0.12050E-01    0.78034E-01
   213    0.74960E+01    0.16811E-01    0.12056E-01    0.72331E-01
   214    0.75155E+01    0.16617E-01    0.12066E-01    0.66526E-01
   215    0.75306E+01    0.16441E-01    0.12081E-01    0.60629E-01
   216    0.75413E+01    0.16283E-01    0.12101E-01    0.54651E-01
   217    0.75476E+01    0.16142E-01    0.12125E-01    0.48602E-01
   218    0.75498E+01    0.16019E-01    0.12153E-01    0.42493E-01
   219    0.75478E+01    0.15912E-01    0.12185E-01    0.36334E-01
   220    0.75418E+01    0.15821E-01    0.12220E-01    0.30137E-01
   221    0.75318E+01    0.15746E-01    0.12259E-01    0.23912E-01
