#    L    TT             EE             BB             TE             PP             TP             EP          
   207    0.56670E+04    0.67986E+00    0.00000E+00   -0.57530E+01    0.55354E-07    0.13934E-03   -0.28310E-06
   208    0.56753E+04    0.68608E+00    0.00000E+00   -0.43413E+01    0.55084E-07    0.13822E-03   -0.26876E-06
   209    0.56829E+04    0.69342E+00    0.00000E+00   -0.29111E+01    0.54817E-07    0.13710E-03   -0.25435E-06
   210    0.56899E+04    0.70193E+00    0.00000E+00   -0.14632E+01    0.54551E-07    0.13599E-03   -0.23988E-06
   211    0.56963E+04    0.71164E+00    0.00000E+00    0.23566E-02    0.54288E-07    0.13489E-03   -0.22536E-06
   212    0.57020E+04    0.72259E+00    0.00000E+00    0.14845E+01    0.54026E-07    0.13380E-03   -0.21078E-06
   213    0.57071E+04    0.73481E+00    0.00000E+00    0.29834E+01    0.53767E-07    0.13272E-03   -0.19616E-06
   214    0.57115E+04    0.74829E+00    0.00000E+00    0.44977E+01    0.53509E-07    0.13164E-03   -0.18149E-06
   215    0.57154E+04    0.76324E+00    0.00000E+00    0.60267E+01    0.53254E-07    0.13058E-03   -0.16678E-06
   216    0.57186E+04    0.77947E+00    0.00000E+00    0.75710E+01    0.53001E-07    0.12952E-03   -0.15203E-06
   217    0.57212E+04    0.79714E+00    0.00000E+00    0.91284E+01    0.52749E-07    0.12847E-03   -0.13726E-06
   218    0.57231E+04    0.81624E+00    0.00000E+00    0.10699E+02    0.52500E-07    0.12743E-03   -0.12245E-06
   219    0.57245E+04    0.83677E+00    0.00000E+00    0.12284E+02    0.52252E-07    0.12639E-03   -0.10762E-06
   220    0.57252E+04    0.85889E+00    0.00000E+00    0.13880E+02    0.52007E-07    0.12537E-03   -0.92777E-07
   221    0.57254E+04    0.88252E+00    0.00000E+00    0.15487E+02    0.51763E-07    0.12435E-03   -0.77914E-07
   222    0.57249E+04    0.90781E+00    0.00000E+00    0.17105E+02    0.51521E-07    0.12334E-03   -0.63040E-07
   223    0.57237E+04    0.93468E+00    0.00000E+00    0.18734E+02    0.51282E-07    0.12234E-03   -0.48159E-07
   224    0.57220E+04    0.96314E+00    0.00000E+00    0.20371E+02    0.51043E-07    0.12135E-03   -0.33276E-07
   225    0.57196E+04    0.99334E+00    0.00000E+00    0.22018E+02    0.50807E-07    0.12036E-03   -0.18393E-07
   226    0.57166E+04    0.10253E+01    0.00000E+00    0.23672E+02    0.50573E-07    0.11939E-03   -0.35152E-08
   227    0.57130E+04    0.10589E+01    0.00000E+00    0.25335E+02    0.50340E-07    0.11842E-03    0.11353E-07
   228    0.57088E+04    0.10944E+01    0.00000E+00    0.27004E+02    0.50109E-07    0.11745E-03    0.26208E-07
   229    0.57040E+04    0.11316E+01    0.00000E+00    0.28679E+02    0.49880E-07    0.11650E-03    0.41045E-07
